#GENE	HGNC ID	INHERITANCE	AGE GROUP
COL11A2	2187	AD/AR	Pediatric
COL12A1	2188	AD/AR	N/A
COL13A1	2190	AR	Pediatric
COL17A1	2194	AD/AR	N/A
COL18A1	2195	AD	Adult
COL1A1	2197	AD	Pediatric
COL1A2	2198	AD/AR	Pediatric
COL25A1	18603	AR	N/A
COL27A1	22986	AR	Pediatric
COL2A1	2200	AD	Pediatric
COL3A1	2201	AD/AR	Pediatric
COL4A1	2202	AD	Adult
COL4A2	2203	AD	Adult
COL4A3	2204	AD/AR	Pediatric
COL4A4	2206	AD/AR	Pediatric
COL4A5	2207	XL	Pediatric
COL4A6	2208	XL	Pediatric
COL5A1	2209	AD	Pediatric
COL5A2	2210	AD	Pediatric
COL6A1	2211	AD/AR	N/A
COL6A2	2212	AD/AR	N/A
COL6A3	2213	AD/AR	N/A
COL7A1	2214	AD/AR	N/A
COL8A2	2216	AD	N/A
COL9A1	2217	AR	Pediatric
COL9A2	2218	AR	Pediatric
COL9A3	2219	AD	N/A
COLEC10	2220	AR	N/A
COLEC11	17213	AR	Pediatric
COLGALT1	26182	AR	N/A
COLQ	2226	AR	Pediatric
COMP	2227	AD	N/A
COMT	2228	AD	Pediatric
COPA	2230	AD	Pediatric
COPB1	2231	AD	Pediatric
COPB2	2232	AR	N/A
COQ2	25223	AR	Pediatric
COQ4	19693	AR	Pediatric
COQ5	28722	AR	Pediatric
COQ6	20233	AR	Pediatric
COQ7	2244	AR	Pediatric
COQ8A	16812	AR	Pediatric
COQ8B	19041	AR	Pediatric
COQ9	25302	AR	Pediatric
CORIN	19012	AD	Pediatric
CORO1A	2252	AR	Pediatric
COX10	2260	AR	N/A
COX14	28216	AR	N/A
COX15	2263	AR	N/A
COX16	20213	AR	N/A
COX20	26970	AR	N/A
COX4I1	2265	AR	Pediatric
COX4I2	16232	AR	Pediatric
COX5A	2267	AR	Pediatric
COX6A1	2277	AR	N/A
COX6A2	2279	AR	N/A
COX6B1	2280	AR	N/A
COX7B	2291	XL	N/A
COX8A	2294	AR	N/A
CP	2295	AR	Pediatric
CPA6	17245	AR	N/A
CPAMD8	23228	AR	N/A
CPE	2303	AR	Pediatric
CPLANE1	25801	AR	N/A
CPLX1	2309	AR	N/A
CPN1	2312	AR	N/A
CPOX	2321	AD/AR	Pediatric
CPS1	2323	AR	Pediatric
CPSF1	2324	AD	N/A
CPT1A	2328	AR	Pediatric
CPT1C	18540	AD	N/A
CPT2	2330	AR	Pediatric
CR1	2334	BG	Pediatric
CR2	2336	AR	Pediatric
CRADD	2340	AR	N/A
CRAT	2342	AR	N/A
CRB1	2343	AD/AR	N/A
CRB2	18688	AR	Pediatric
CRBN	30185	AR	N/A
CREB3L1	18856	AR	N/A
CREB3L3	18855	AD	Pediatric
CREBBP	2348	AD	Pediatric
CRELD1	14630	AD	Pediatric
CRIPT	14312	AR	N/A
CRLF1	2364	AR	Pediatric
CRPPA	37276	AR	N/A
CRTAP	2379	AR	N/A
CRX	2383	AD/AR	N/A
CRY1	2384	AD	N/A
CRYAA	2388	AD/AR	N/A
CRYAB	2389	AD	Pediatric
CRYBA1	2394	AD	N/A
CRYBA2	2395	AD	N/A
CRYBA4	2396	AD	N/A
CRYBB1	2397	AD/AR	N/A
CRYBB2	2398	AD	N/A
CRYBB3	2400	AD/AR	N/A
CRYGB	2409	AD	N/A
CRYGC	2410	AD	N/A
CRYGD	2411	AD	N/A
CRYGS	2417	AD	N/A
CRYM	2418	AD	Pediatric
CSF1R	2433	AD/AR	N/A
CSF2RA	2435	XL	Pediatric
CSF2RB	2436	AR	Pediatric
CSF3R	2439	AR	Pediatric
CSGALNACT1	24290	AR	N/A
CSNK1D	2452	AD	N/A
CSNK2A1	2457	AD	Pediatric
CSNK2B	2460	AD	N/A
CSPP1	26193	AR	N/A
CSRP3	2472	AD	Pediatric
CST3	2475	AD	N/A
CST6	2478	AR	N/A
CSTA	2481	AR	N/A
CSTB	2482	AR	N/A
CTBP1	2494	AD	N/A
CTC1	26169	AR	N/A
CTCF	13723	AD	N/A
CTDP1	2498	AR	Pediatric
CTH	2501	AR	N/A
CTHRC1	18831	AD	Adult
CTLA4	2505	AD	Pediatric
CTNNA1	2509	AD	Adult
CTNNA2	2510	AR	N/A
CTNNA3	2511	AD	Pediatric
CTNNB1	2514	AD	N/A
CTNND1	2515	AD	N/A
CTNS	2518	AR	Pediatric
CTPS1	2519	AR	Pediatric
CTSA	9251	AR	Pediatric
CTSB	2527	AD	N/A
CTSC	2528	AR	Pediatric
CTSD	2529	AR	N/A
CTSF	2531	AR	N/A
CTSK	2536	AR	N/A
CTU2	28005	AR	N/A
CUBN	2548	AR	Pediatric
CUL3	2553	AD	Pediatric
CUL4B	2555	XL	N/A
CUL7	21024	AR	N/A
CUX1	2557	AD	N/A
CUX2	19347	AD	N/A
CWC27	10664	AR	N/A
CWF19L1	25613	AR	N/A
CXCR4	2561	AD	Pediatric
CYB5A	2570	AR	Pediatric
CYB5R3	2873	AR	Pediatric
CYBA	2577	AR	Pediatric
CYBB	2578	XL	Pediatric
CYBC1	28672	AR	Pediatric
CYC1	2579	AR	Pediatric
CYCS	19986	AD	N/A
CYFIP2	13760	AD	N/A
CYLD	2584	AD	Pediatric
CYP11A1	2590	AD/AR	Pediatric
CYP11B1	2591	AD/AR	Pediatric
CYP11B2	2592	AD/AR	Pediatric
CYP17A1	2593	AR	Pediatric
CYP19A1	2594	AD/AR	Pediatric
CYP1A2	2596	AD	Pediatric
CYP1B1	2597	AR	Pediatric
CYP21A2	2600	AR	Pediatric
CYP24A1	2602	AR	Pediatric
CYP26C1	20577	AR	N/A
CYP27A1	2605	AR	Pediatric
CYP27B1	2606	AR	Pediatric
CYP2A6	2610	AD	Pediatric
CYP2B6	2615	AD	Pediatric
CYP2C19	2621	AD	Pediatric
CYP2C8	2622	AD/AR	Pediatric
CYP2C9	2623	AD	Pediatric
CYP2D6	2625	AD	Pediatric
CYP2R1	20580	AR	Pediatric
CYP2U1	20582	AR	N/A
CYP3A4	2637	AD	Pediatric
CYP3A5	2638	AD	Pediatric
CYP4F2	2645	AD	Pediatric
CYP4F22	26820	AR	N/A
CYP4V2	23198	AR	N/A
CYP7B1	2652	AR	Pediatric
CYTB	7427	Maternal	N/A
D2HGDH	28358	AR	N/A
DAAM2	18143	AR	N/A
DAB1	2661	AD	N/A
DACT1	17748	AD	Pediatric
DAG1	2666	AR	N/A
DALRD3	25536	AR	N/A
DARS1	2678	AR	N/A
DARS2	25538	AR	N/A
DBH	2689	AR	Pediatric
DBR1	15594	AR	Pediatric
DBT	2698	AR	Pediatric
DCAF17	25784	AR	Pediatric
DCAF8	24891	AD	Adult
DCC	2701	AD/AR	N/A
DCDC2	18141	AR	Pediatric
DCHS1	13681	AD/AR	Pediatric
DCLRE1C	17642	AR	Pediatric
DCN	2705	AD	Adult
DCPS	29812	AR	N/A
DCT	2709	AR	N/A
DCTN1	2711	AD	Adult
DCX	2714	XL	N/A
DCXR	18985	AR	N/A
DDB1	2717	AD	Pediatric
DDB2	2718	AR	Pediatric
DDC	2719	AR	Pediatric
DDHD1	19714	AR	N/A
DDHD2	29106	AR	N/A
DDOST	2728	AR	Pediatric
DDR2	2731	AD	Pediatric
DDRGK1	16110	AR	Pediatric
DDX11	2736	AR	Pediatric
DDX3X	2745	XL	N/A
DDX41	18674	AD	Adult
DDX58	19102	AD	Pediatric
DDX59	25360	AR	Pediatric
DDX6	2747	AD	Pediatric
DEAF1	14677	AD/AR	N/A
DECR1	2753	AR	N/A
DEF6	2760	AR	Pediatric
DEGS1	13709	AR	N/A
DENND5A	19344	AR	N/A
DEPDC5	18423	AD	N/A
DES	2770	AD/AR	Pediatric
DGAT1	2843	AR	Pediatric
DGCR2	2845	AD	N/A
DGKE	2852	AR	Pediatric
DGUOK	2858	AR	Pediatric
DHCR24	2859	AR	N/A
DHCR7	2860	AR	Pediatric
DHDDS	20603	AD/AR	N/A
DHFR	2861	AR	Pediatric
DHH	2865	AD/AR	Pediatric
DHODH	2867	AR	N/A
DHPS	2869	AR	N/A
DHTKD1	23537	AD/AR	N/A
DHX16	2739	AD	N/A
DHX30	16716	AD	N/A
DHX37	17210	AD/AR	Pediatric
DHX38	17211	AR	N/A
DIABLO	21528	AD	N/A
DIAPH1	2876	AD	Pediatric
DIAPH2	2877	XL	Pediatric
DICER1	17098	AD	Pediatric
DIP2B	29284	AD	N/A
DIS3L2	28648	AR	Pediatric
DKC1	2890	XL	Pediatric
DLAT	2896	AR	Pediatric
DLD	2898	AR	Pediatric
DLG3	2902	XL	N/A
DLG4	2903	AD	N/A
DLL1	2908	AD	N/A
DLL3	2909	AR	N/A
DLL4	2910	AD	Pediatric
DLST	2911	AD	Adult
DLX3	2916	AD	N/A
DLX4	2917	AD	N/A
DLX5	2918	AD/AR	Pediatric
DMD	2928	XL	Pediatric
DMGDH	24475	AR	N/A
DMP1	2932	AR	Pediatric
DMPK	2933	AD/AR	Pediatric
DMXL2	2938	AR	Pediatric
DNA2	2939	AD/AR	N/A
DNAAF1	30539	AR	Pediatric
DNAAF11	16725	AR	Pediatric
DNAAF2	20188	AR	Pediatric
DNAAF3	30492	AR	Pediatric
DNAAF4	21493	AR	Pediatric
DNAAF5	26013	AR	Pediatric
DNAAF6	28570	XL	Pediatric
DNAH1	2940	AR	Pediatric
DNAH10	2941	AR	N/A
DNAH11	2942	AR	Pediatric
DNAH17	2946	AR	N/A
DNAH2	2948	AR	N/A
DNAH5	2950	AR	Pediatric
DNAH8	2952	AR	N/A
DNAH9	2953	AR	Pediatric
DNAI1	2954	AR	Pediatric
DNAI2	18744	AR	Pediatric
DNAJB11	14889	AD	Adult
DNAJB13	30718	AR	Pediatric
DNAJB2	5228	AR	N/A
DNAJB6	14888	AD	N/A
DNAJC12	28908	AR	Pediatric
DNAJC13	30343	AD	Adult
DNAJC19	30528	AR	Pediatric
DNAJC21	27030	AR	Pediatric
DNAJC3	9439	AR	N/A
DNAJC30	16410	AR	N/A
DNAJC5	16235	AD	N/A
DNAJC6	15469	AR	N/A
DNAL1	23247	AR	Pediatric
DNAL4	2955	AR	N/A
DNASE1L3	2959	AR	N/A
DNHD1	26532	AR	N/A
DNM1	2972	AD	N/A
DNM1L	2973	AD/AR	N/A
DNM2	2974	AD/AR	N/A
DNMBP	30373	AR	N/A
DNMT1	2976	AD	N/A
DNMT3A	2978	AD	N/A
DNMT3B	2979	AR	Pediatric
DOCK2	2988	AR	Pediatric
DOCK3	2989	AR	N/A
DOCK6	19189	AR	Pediatric
DOCK7	19190	AR	N/A
DOCK8	19191	AR	Pediatric
DOK7	26594	AR	Pediatric
DOLK	23406	AR	Pediatric
DONSON	2993	AR	N/A
DPAGT1	2995	AR	Pediatric
DPF2	9964	AD	Pediatric
DPH1	3003	AR	Pediatric
DPM1	3005	AR	Pediatric
DPM2	3006	AR	Pediatric
DPM3	3007	AR	Pediatric
DPP6	3010	AD	Pediatric
DPY19L2	19414	AR	N/A
DPYD	3012	AR	Pediatric
DPYS	3013	AR	Pediatric
DPYSL5	20637	AD	N/A
DRAM2	28769	AR	N/A
DRC1	24245	AR	Pediatric
DRD2	3023	AD	N/A
DSC2	3036	AD/AR	Pediatric
DSC3	3037	AR	N/A
DSE	21144	AR	Pediatric
DSG1	3048	AR	Pediatric
DSG2	3049	AD	Pediatric
DSG3	3050	AR	N/A
DSG4	21307	AR	N/A
DSP	3052	AD/AR	Pediatric
DSPP	3054	AD	N/A
DST	1090	AR	N/A
DSTYK	29043	AD	Pediatric
DTNA	3057	AD	Pediatric
DTNBP1	17328	AR	Pediatric
DUOX2	13273	AD/AR	Pediatric
DUOXA2	32698	AR	Pediatric
DUSP6	3072	AD/Digenic	Pediatric
DUX4	50800	Digenic	N/A
DVL1	3084	AD	N/A
DVL3	3087	AD	N/A
DYM	21317	AR	Pediatric
DYNC1H1	2961	AD	N/A
DYNC2H1	2962	AR/Digenic 	N/A
DYNC2I1	21862	AR	N/A
DYNC2I2	28296	AR	N/A
DYNC2LI1	24595	AR	N/A
DYNLT2B	28482	AR	N/A
DYRK1A	3091	AD	N/A
DYRK1B	3092	AD	Adult
DYSF	3097	AR	Pediatric
DZIP1	20908	AD	Pediatric
DZIP1L	26551	AR	Pediatric
EARS2	29419	AR	N/A
EBF3	19087	AD	N/A
EBP	3133	XL	N/A
ECE1	3146	AD	Pediatric
ECEL1	3147	AR	N/A
ECHS1	3151	AR	N/A
ECM1	3153	AR	N/A
EDA	3157	XL	N/A
EDAR	2895	AD/AR	N/A
EDARADD	14341	AD/AR	N/A
EDC3	26114	AR	N/A
EDEM3	16787	AR	N/A
EDN1	3176	AD/AR	N/A
EDN3	3178	AD/AR	Pediatric
EDNRA	3179	AD	Pediatric
EDNRB	3180	AD/AR	Pediatric
EED	3188	AD	N/A
EEF1A2	3192	AD	N/A
EEF2	3214	AD	N/A
EFEMP1	3218	AD	N/A
EFEMP2	3219	AR	Pediatric
EFHC1	16406	AD	N/A
EFL1	25789	AR	Pediatric
EFNB1	3226	XL	N/A
EFTUD2	30858	AD	Pediatric
EGF	3229	AR	Pediatric
EGFR	3236	AR	Pediatric
EGLN1	1232	AD	Pediatric
EGR2	3239	AD/AR	N/A
EHHADH	3247	AD	Pediatric
EHMT1	24650	AD	Pediatric
EIF2AK1	24921	AD	N/A
EIF2AK2	9437	AD/AR	N/A
EIF2AK3	3255	AR	Pediatric
EIF2AK4	19687	AR	Pediatric
EIF2B1	3257	AR	Pediatric
EIF2B2	3258	AR	Pediatric
EIF2B3	3259	AR	Pediatric
EIF2B4	3260	AR	Pediatric
EIF2B5	3261	AR	Pediatric
EIF2S3	3267	XL	Pediatric
EIF3F	3275	AR	N/A
EIF4A3	18683	AR	N/A
EIF4E	3287	AD	N/A
EIF4G1	3296	AD	Adult
ELAC2	14198	AR	Pediatric
ELANE	3309	AD	Pediatric
ELMO2	17233	AR	Pediatric
ELMOD3	26158	AR	Pediatric
ELN	3327	AD	Pediatric
ELOVL1	14418	AD	N/A
ELOVL4	14415	AD/AR	N/A
ELOVL5	21308	AD	N/A
ELP1	5959	AR	N/A
ELP2	18248	AR	N/A
ELP4	1171	AD	Pediatric
EMC1	28957	AR	N/A
EMC10	27609	AR	N/A
EMD	3331	XL	Pediatric
EMG1	16912	AR	N/A
EML1	3330	AR	N/A
EMP2	3334	AR	N/A
EMX2	3341	AD	N/A
EN1	3342	AR	Pediatric
ENAM	3344	AD/AR	N/A
ENG	3349	AD	Pediatric
ENO3	3354	AR	N/A
ENPP1	3356	AR	Pediatric
ENTPD1	3363	AR	N/A
EOGT	28526	AR	Pediatric
EP300	3373	AD	Pediatric
EPAS1	3374	AD	Pediatric
EPB41	3377	AR	Pediatric
EPB41L1	3378	AD	N/A
EPB42	3381	AR	Pediatric
EPCAM	11529	AD/AR	Pediatric
EPG5	29331	AR	Pediatric
EPHA2	3386	AD	N/A
EPHB2	3393	AR	Pediatric
EPHB4	3395	AD	Pediatric
EPHX1	3401	AR	Pediatric
EPM2A	3413	AR	N/A
EPO	3415	AD/AR	Pediatric
EPOR	3416	AD	Pediatric
EPRS1	3418	AR	N/A
EPS8	3420	AR	Pediatric
EPS8L2	21296	AR	Pediatric
EPS8L3	21297	AD	N/A
EPX	3423	AR	N/A
ERAL1	3424	AR	Pediatric
ERBB2	3430	AR	Pediatric
ERBB3	3431	AD/AR	Pediatric
ERBB4	3432	AD	N/A
ERCC1	3433	AR	N/A
ERCC2	3434	AR	Pediatric
ERCC3	3435	AR	Pediatric
ERCC4	3436	AR	Pediatric
ERCC5	3437	AR	Pediatric
ERCC6	3438	AD/AR	Pediatric
ERCC6L2	26922	AR	Pediatric
ERCC8	3439	AR	Pediatric
ERF	3444	AD	Pediatric
ERGIC1	29205	AR	N/A
ERLIN1	16947	AR	N/A
ERLIN2	1356	AR	N/A
ERMAP	15743	BG	Pediatric
ERMARD	21056	AD	N/A
ESAM	17474	AD	N/A
ESCO2	27230	AR	Pediatric
ESPN	13281	AD/AR	Pediatric
ESR1	3467	AR	N/A
ESR2	3468	AR	Pediatric
ESRP1	25966	AR	Pediatric
ESRRB	3473	AR	Pediatric
ETFA	3481	AR	Pediatric
ETFB	3482	AR	Pediatric
ETFDH	3483	AR	Pediatric
ETHE1	23287	AR	Pediatric
ETV6	3495	AD	Pediatric
EVC	3497	AR	Pediatric
EVC2	19747	AR	Pediatric
EXOC2	24968	AR	N/A
EXOC6B	17085	AR	N/A
EXOSC1	17286	AR	N/A
EXOSC2	17097	AR	Pediatric
EXOSC3	17944	AR	N/A
EXOSC5	24662	AR	Pediatric
EXOSC8	17035	AR	N/A
EXOSC9	9137	AR	N/A
EXPH5	30578	AR	N/A
EXT1	3512	AD	Pediatric
EXT2	3513	AD	Pediatric
EXTL3	3518	AR	Pediatric
EYA1	3519	AD	Pediatric
EYA4	3522	AD	Adult
EYS	21555	AR	N/A
EZH2	3527	AD	N/A
F10	3528	AR	Pediatric
F11	3529	AD/AR	Pediatric
F12	3530	AD/AR	Pediatric
F13A1	3531	AR	Pediatric
F13B	3534	AR	Pediatric
F2	3535	AD/AR	Pediatric
F5	3542	AD/AR	Pediatric
F7	3544	AR	Pediatric
F8	3546	XL	Pediatric
F9	3551	XL	Pediatric
FA2H	21197	AR	N/A
FAAHP1	50679	AD	N/A
FADD	3573	AR	Pediatric
FAH	3579	AR	Pediatric
FAM111A	24725	AD	Pediatric
FAM111B	24200	AD	N/A
FAM126A	24587	AR	N/A
FAM149B1	29162	AR	N/A
FAM161A	25808	AR	N/A
FAM20A	23015	AR	N/A
FAM20C	22140	AR	Pediatric
FAM50A	18786	XL	N/A
FAM83H	24797	AD	N/A
FAN1	29170	AR	N/A
FANCA	3582	AR	Pediatric
FANCB	3583	XL	Pediatric
FANCC	3584	AR	Pediatric
FANCD2	3585	AR	Pediatric
FANCE	3586	AR	Pediatric
FANCF	3587	AR	Pediatric
FANCG	3588	AR	Pediatric
FANCI	25568	AR	Pediatric
FANCL	20748	AR	Pediatric
FANCM	23168	AR	Pediatric
FAR1	26222	AD/AR	N/A
FARS2	21062	AR	N/A
FARSA	3592	AR	Pediatric
FARSB	17800	AR	Pediatric
FAS	11920	AD/AR	Pediatric
FASLG	11936	AD	Pediatric
FASTKD2	29160	AR	N/A
FAT2	3596	AD	N/A
FAT4	23109	AR	Pediatric
FBLN1	3600	AD	N/A
FBLN5	3602	AD/AR	N/A
FBN1	3603	AD	Pediatric
FBN2	3604	AD	Pediatric
FBP1	3606	AR	Pediatric
FBXL3	13599	AR	N/A
FBXL4	13601	AR	N/A
FBXO11	13590	AD	N/A
FBXO31	16510	AR	N/A
FBXO38	28844	AD	N/A
FBXO43	28521	AR	N/A
FBXO7	13586	AR	Pediatric
FBXW11	13607	AD	N/A
FCGR3A	3619	AR	Pediatric
FCHO1	29002	AR	Pediatric
FCMTE2	37159	AD	N/A
FCN3	3625	AR	Pediatric
FCSK	29500	AR	N/A
FDFT1	3629	AR	N/A
FDPS	3631	AD	N/A
FDX2	30546	AR	Pediatric
FDXR	3642	AR	N/A
FECH	3647	AD/AR	Pediatric
FERMT1	15889	AR	Adult
FERMT3	23151	AR	Pediatric
FEZF1	22788	AR	Pediatric
FGA	3661	AD/AR	Pediatric
FGB	3662	AD/AR	Pediatric
FGD1	3663	XL	N/A
FGD4	19125	AR	N/A
FGF10	3666	AD	Pediatric
FGF12	3668	AD	N/A
FGF13	3670	XL	N/A
FGF14	3671	AD	N/A
FGF16	3672	XL	N/A
FGF17	3673	AD/Multigenic	Pediatric
FGF20	3677	AR	N/A
FGF23	3680	AD/AR	Pediatric
FGF3	3681	AR	Pediatric
FGF5	3683	AR	N/A
FGF8	3686	AD/Digenic	Pediatric
FGF9	3687	AD	N/A
FGFR1	3688	AD	Pediatric
FGFR2	3689	AD	Pediatric
FGFR3	3690	AD/AR	Pediatric
FGG	3694	AD/AR	Pediatric
FH	3700	AD	Pediatric
FHL1	3702	XL	Pediatric
FHOD3	26178	AD	Pediatric
FIBP	3705	AR	Pediatric
FIG4	16873	AD/AR	N/A
FIGLA	24669	AD	Pediatric
FITM2	16135	AR	Pediatric
FKBP10	18169	AR	N/A
FKBP14	18625	AR	Pediatric
FKRP	17997	AR	Pediatric
FKTN	3622	AR	Pediatric
FLAD1	24671	AR	Pediatric
FLCN	27310	AD	Adult
FLG	3748	AD/AR	N/A
FLG2	33276	AR	N/A
FLI1	3749	AD/AR	Pediatric
FLNA	3754	XL	Pediatric
FLNB	3755	AD/AR	Pediatric
FLNC	3756	AD	Adult
FLRT3	3762	AD/Digenic/Multigenic	Pediatric
FLT4	3767	AD/AR	Pediatric
FLVCR1	24682	AR	N/A
FLVCR2	20105	AR	N/A
FMN2	14074	AR	N/A
FMO3	3771	AR	Pediatric
FMR1	3775	XL	Pediatric
FN1	3778	AD	N/A
FNIP1	29418	AR	Pediatric
FOLR1	3791	AR	Pediatric
FOXC1	3800	AD	Adult
FOXC2	3801	AD	Pediatric
FOXE1	3806	AD/AR	Pediatric (Hypothyroidism, thyroidal, with spiky hair and cleft palate)/Adult (Thyroid cancer, nonmedullary 4)
FOXE3	3808	AD/AR	Pediatric
FOXF1	3809	AD	Pediatric
FOXG1	3811	AD	N/A
FOXH1	3814	AD	Pediatric
FOXI1	3815	AR	Pediatric
FOXJ1	3816	AD	Pediatric
FOXL2	1092	AD	Pediatric
FOXN1	12765	AD/AR	Pediatric
FOXP1	3823	AD	N/A
FOXP2	13875	AD	N/A
FOXP3	6106	XL	Pediatric
FOXRED1	26927	AR	N/A
FRAS1	19185	AR	N/A
FREM1	23399	AD/AR	N/A
FREM2	25396	AR	N/A
FRMD4A	25491	AR	N/A
FRMD7	8079	XL	N/A
FRMPD4	29007	XL	N/A
FRRS1L	1362	AR	N/A
FSCN2	3960	AD	N/A
FSHB	3964	AR	Pediatric
FSHMD1A	3966	AD/AR	Pediatric
FSHR	3969	AD/AR	Pediatric
FSIP2	21675	AR	N/A
FTCD	3974	AR	N/A
FTH1	3976	AD	Pediatric
FTL	3999	AD/AR	N/A
FTO	24678	AR	Pediatric
FTSJ1	13254	XL	N/A
FUCA1	4006	AR	N/A
FUS	4010	AD/AR	N/A
FUT1	4012	BG	Pediatric
FUT2	4013	BG	Pediatric
FUT3	4014	AD	Pediatric
FUT6	4017	AR	N/A
FUT8	4019	AR	N/A
FUZ	26219	AD	N/A
FXN	3951	AR	Pediatric
FXR1	4023	AR	N/A
FXYD2	4026	AD	Pediatric
FYB1	4036	AR	Pediatric
FYCO1	14673	AR	N/A
FZD2	4040	AD	N/A
FZD4	4042	AD/Digenic	N/A
FZD6	4044	AR	N/A
G6PC1	4056	AR	Pediatric
G6PC3	24861	AR	Pediatric
G6PD	4057	XL	Pediatric
GAA	4065	AR	Pediatric
GAB1	4066	AR	Pediatric
GABBR2	4507	AD	N/A
GABRA1	4075	AD	N/A
GABRA2	4076	AD	N/A
GABRA5	4079	AD	N/A
GABRB1	4081	AD	N/A
GABRB2	4082	AD	N/A
GABRB3	4083	AD	N/A
GABRG2	4087	AD	N/A
GAD1	4092	AR	N/A
GAL	4114	AD	N/A
GALC	4115	AR	Pediatric
GALE	4116	AR	Pediatric
GALK1	4118	AR	Pediatric
GALM	24063	AR	Pediatric
GALNS	4122	AR	Pediatric
GALNT12	19877	AD	Adult
GALNT2	4124	AR	N/A
GALNT3	4125	AR	Pediatric
GALT	4135	AR	Pediatric
GAMT	4136	AR	Pediatric
GAN	4137	AR	N/A
GANAB	4138	AD	Pediatric
GARS1	4162	AD	N/A
GAS1	4165	AD	N/A
GAS8	4166	AR	Pediatric
GATA1	4170	XL	Pediatric
GATA2	4171	AD	Pediatric
GATA3	4172	AD	Pediatric
GATA4	4173	AD	Pediatric
GATA5	15802	AD	Pediatric
GATA6	4174	AD	Pediatric
GATAD1	29941	AR	Adult
GATAD2B	30778	AD	Pediatric
GATB	8849	AR	N/A
GATC	25068	AR	N/A
GATM	4175	AD/AR	Pediatric
GBA	4177	AR	Pediatric
GBA2	18986	AR	N/A
GBE1	4180	AR	Pediatric
GBF1	4181	AD	N/A
GCDH	4189	AR	Pediatric
GCGR	4192	AR	Pediatric
GCH1	4193	AD/AR	Pediatric
GCK	4195	AD/AR	Pediatric
GCLC	4311	AR	Pediatric
GCM2	4198	AD/AR	Pediatric
GCNT2	4204	BG/AR	Pediatric
GCSH	4208	AR	Pediatric
GDAP1	15968	AD/AR	N/A
GDAP2	18010	AR	N/A
GDF1	4214	AD/AR	Pediatric
GDF11	4216	AD	N/A
GDF2	4217	AD	Pediatric
GDF3	4218	AD/Digenic	N/A
GDF5	4220	AD/AR	N/A
GDF6	4221	AD/AR/Digenic	Pediatric
GDF9	4224	AR	Pediatric
GDI1	4226	XL	N/A
GDNF	4232	AD	Pediatric
GEMIN4	15717	AR	Pediatric
GEMIN5	20043	AR	N/A
GFAP	4235	AD	N/A
GFER	4236	AR	N/A
GFI1	4237	AD	Pediatric
GFI1B	4238	AD	Pediatric
GFM1	13780	AR	N/A
GFM2	29682	AR	N/A
GFPT1	4241	AR	Pediatric
GGCX	4247	AD/AR/Digenic	Pediatric
GGPS1	4249	AR	Pediatric
GGT1	4250	AR	N/A
GH1	4261	AD/AR	Pediatric
GHR	4263	AD/AR	Pediatric
GHRHR	4266	AR	Pediatric
GHSR	4267	AD/AR	N/A
GIGYF2	11960	AD	Adult
GIMAP5	18005	AR	Pediatric
GINS1	28980	AR	Pediatric
GIPC1	1226	AD	N/A
GIPC3	18183	AR	Pediatric
GJA1	4274	AD/AR	Pediatric
GJA3	4277	AD	N/A
GJA5	4279	AD/Digenic	Adult
GJA8	4281	AD/AR	N/A
GJB1	4283	XL	N/A
GJB2	4284	AD/AR/Digenic	Pediatric
GJB3	4285	AD/Digenic	Pediatric
GJB4	4286	AD	N/A
GJB6	4288	AR/Digenic	Pediatric
GJC2	17494	AD/AR	N/A
GK	4289	XL	Pediatric
GLA	4296	XL	Pediatric
GLB1	4298	AR	N/A
GLDC	4313	AR	Pediatric
GLDN	29514	AR	N/A
GLE1	4315	AR	N/A
GLI1	4317	AR	N/A
GLI2	4318	AD	Pediatric
GLI3	4319	AD	Pediatric
GLIS2	29450	AR	N/A
GLIS3	28510	AR	Pediatric
GLMN	14373	AD	N/A
GLRA1	4326	AD/AR	Pediatric
GLRB	4329	AR	Pediatric
GLRX5	20134	AR	Pediatric
GLS	4331	AD/AR	N/A
GLUD1	4335	AD	Pediatric
GLUL	4341	AR	Pediatric
GLYCTK	24247	AR	N/A
GM2A	4367	AR	N/A
GMNN	17493	AD	N/A
GMPPA	22923	AR	N/A
GMPPB	22932	AR	Pediatric
GNA11	4379	AD	Pediatric
GNAI3	4387	AD	N/A
GNAL	4388	AD	N/A
GNAO1	4389	AD	Pediatric
GNAS	4392	AD	Pediatric
GNAT1	4393	AD/AR	N/A
GNAT2	4394	AR	N/A
GNB1	4396	AD	N/A
GNB2	4398	AD	Pediatric
GNB3	4400	AR	N/A
GNB4	20731	AD	N/A
GNB5	4401	AR	Pediatric
GNE	23657	AD/AR	N/A
GNMT	4415	AR	N/A
GNPAT	4416	AR	N/A
GNPNAT1	19980	AR	N/A
GNPTAB	29670	AR	N/A
GNPTG	23026	AR	N/A
GNRH1	4419	AR/Digenic	Pediatric
GNRHR	4421	AD/AR/Digenic	Pediatric
GNS	4422	AR	N/A
GON7	20356	AR	N/A
GORAB	25676	AR	N/A
GOSR2	4431	AR	N/A
GOT2	4433	AR	Pediatric
GP1BA	4439	AD/AR	Pediatric
GP1BB	4440	AR	Pediatric
GP6	14388	AR	Pediatric
GP9	4444	AR	Pediatric
GPAA1	4446	AR	N/A
GPC3	4451	XL	Pediatric
GPC4	4452	XL	Pediatric
GPC6	4454	AR	Pediatric
